index,textDisplay
97,ようやくLemonを超えそうな曲が現れた長かった…白日やpretenderや夜に駆けるが出た時もLemonを超えて欲しいと思った別にLemonが嫌いというわけではないがお前いつまで居座るねんって思ってたからね
98,良い音楽👍
99,何か気づいたら1位じゃなくなっている…………😱😭
100,レコ大取れるかな今まで夜に駆けるとか取れなかったのが不思議だけど
101,曲すごすぎだろ1:13
102,最強
103,やはりここら辺りになるとミュージックM1位がいいとかでなく総再生数が大きく物を言う日本のミュージックMVに貢献できない海外勢力も総再生数には協力出来るし現にそれを支持するオタオタと言っていいのか分からんがも出ている争いと言う言葉を好まない人もいるのは承知しているしかしここは敢えて使わせてもらうNO.1の称号は無くなったが雲の上の再生数争いを行っている事実は代わらない1億2億でなく3億再生以上だからねここら辺りになると人間界では無く神の領域での再生数争いになるしたくても出来ないエリート楽曲達の聴きまくると言う力を出し切っての争いlemonが1日辺り40万再生位とか言われているがあのレベルならそうだろうでは肝心なアイドルは如何に
104,かわいい
105,初めてこの曲を聞いた時は普通だと思いましたが聞くと聞くほど気に入りました妙に惹かれる感じのある音楽です🧲
106,3位になっちまった
107,3位になって悲しい人正直に✋
108,伝説のアニメシリーズの音楽
109,生きてるアイを見ることができる神MV
110,すごーく今更ですけど最近この曲聴きました聴けば聴くほど癖になる
111,あの歌が大好きです
112,あの歌が大好きです
113,芸能人に会う機会のある仕事に携わっていますが芸能界に嘘は必要だと思います笑事実や本当を超えるのは嘘なのかもしれませんね😊もちろん推しの子でも描かれてますが嘘にはリスクもありますが😅
114,Lemon公開から約2000日平均再生数を計算すると1日あたり約41万再生アイドルの再生数はLemonカレンダーで見ると今792日目に相当
115,Lemon公開から約2000日1日あたりの再生数は平均41万再生アイドル公開から約165日1日あたりの再生数は平均196万再生アイドルは今後は99.9%平均再生数下がっていくはたして公開2000日目で再生数の平均は41万以上を維持できているのか
116,休みだからアイドル→怪物アイドル→夜に駆けるアイドル→群青と総流しで聴いてみるかぁー
117,Lemonまで5億再生か…1日100万再生で500日1日50万再生で1000日1日33万再生で1500日1日25万再生で2000日ただひたすらに遠いな
118,さぁあと447万だ
119,アイドル- Yoasobi Hiragana Lyricsアイドル歌詞ひらがな/ふりがなつきカラオケむてきのえがおであらすメヂィアしりたいそのひみつミステリアスぬけてるとこさえかのじょのエリアかんぺきでうそつきなきみはてんさいてきなアイドルさまきょうなにたべたすきなほんはあそびにいくならどこにいくのなにもたべてないそれはないしょなにをきかれてものらりくらりそうたんたんとだけどさんさんとみえそうでみえないひみつはみつのあじあれもないないないこれもないないないすきなタイプはあいてはさあこたえてだれかをすきになることなんてわたしわからなくてさうそかほんとうかしりえないそんなことばにまたひとりおちるまたすきにさせるだれもがめをうばわれていくきみはかんぺきできゅうよくのアイドルこんりんざいあらわれないいちばんぼしのうまれかわりそのえがおであいしてるでだれもかれもとりこにしていくそのひとみがそのことばがうそでもそれはかんぜんなアイはいはいあのこはとくべつですわれわれははなからおまけですおほしさまのひきたてやくBですすべてがあのこのおかげなわけないしゃらくさいねたみしっとなんてないわけがないこれはネタじゃないからこそゆるせないかんぺきじゃないきみじゃゆるせないじぶんをゆるせないだれよりもつよいきみいがいはみとめないだれもがしんじあがめてるまさにさいきょうでむてきのアイドルじゃくてんなんてみあたらないいちばんぼしをやどしているよわいとこなんてみせちゃダメダメしりたくないとこはみせずにゆいいつむぬじゃなくちゃイヤイヤそれこそほんもののアイとくいのえがおでわかすメヂィアかくしきるこのひみつだけはあいしてるってうそでつむキャリアこれこそわたしなりのあいだながれるあせもきれいなアクアルビーをかくしたこのまぶたうたいおどりまうわたしはマリアそううそはとびきりのあいだだれかにあいされたこともだれかのことあいしたこともないそんなわたしのうそがいつかほんとになることしんじてるいつかきっとぜんぶてにいれるわたしはそうよくばりなアイドルとうしんだいでみんなのことちゃんとあいしたいからきょうもうそをつくのこのことばがいつかほんとになるひをねがってそれでもまだきみときみにだけはいえずにいたけどやっといえたこれはぜったいうそじゃないあいしてる....
120,02:05クリップの最高の部分
121,which part is Better for youこの曲から素晴らしい?
122,シアーの生徒さん
123,2回目のサビの後視点が他人からアイになる瞬間がゾクッとする
124,半年も経てばアイドルの人気も衰えるんだな
125,え人気3位やん
