index,textDisplay
67,YOASOBIアイドルOfficial Music Video344M views ·6 months ago#49 GLOBAL TOP MUSIC VIDEO...moreAyase / YOASOBI5.95MSubscribe3.7MShareSaveReportComments131KらるまるRaruMaruアニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれもう第2期を覇権だろUp next7:00200時間かけてアイドルのフルバージョンが完成しました推しの子ピノの羽•1.9M viewsShorts remixing this videoDrawing Nezuko as Idol! #demonslayer #shorts #nezuko #oshinoko #kimetsunoyaiba #idol #art #drawing2.8M views최애의아이렌즈!! 아이💜루비🩷아쿠아🩵1.4M viewsLEARN Aqua's Pen Spinning Trick! ✍️🌀#shorts1.8M views推しの子×カラオケの鉄人ウエディングドレス姿の皆が可愛すぎて泣きそうOSHI NO KO9.7M viewsYoung John Wick613K viewsAnya 😄#shorts #anya #oshinoko #hoshikirarinko1.6M viewsМногиепросилитуториалэтойверсии🥺❤️#oshinoko #tutorial #звездноедитя1.1M viewsDrawing Ai Hoshino 🤩from Oshi no Ko || Coffe Art ☕#shorts #oshinoko #drawinganime6.3M views推しの子アイを食べられるアイシングクッキーにしてみた! OSHI NO KO Ai cookie decorating 최애의아이我推的孩子12M viewsHoshino Ai ❤️Oshi no Ko - Sculpting Anime Clay Art Figure29M views1:41Levi vs Beast Titan - Attack on Titan Season 3 | with Attack on Titan OSTAnime luna II•26M views1:36Film Red: I'm invincible #filmred #onepiece #utaAnitaisho•274K views3:20JEON SOMI (전소미) - `Fast Forward' M/VTHEBLACKLABEL•61M viewsLIVEファミレスを享受せよ今日も深夜から配信するしドリンクバーだってあるんだ儒烏風亭らでん#ReGLOSS Raden Ch.儒烏風亭らでん- ReGLOSS•7.2K watching3:35フィクションブルー歌ってみた・描いてみた/雨宿cover雨宿-amayado-•2.9K views1:48ブルアカMADブルーアーカイブ×勇者/YOASOBIかめ•13K views3:37Kagamine Len feat. the Girls+ ♂OriginalReol Official•15M views3:17Ariana Grande - Fantasize (Lyrics)EntertainerNew297K views8:57Subaru keep crossing the line while playing Hololive Suika GameHololive/Eng subSushi ClipsNew7.2K views14:04League Is Finally Getting Rid of Summoner NamesNecritNew34K views3:21Where Our Blue Is / Tatsuya Kitaniキタニタツヤ/ Tatsuya Kitani•27M viewsComments131KAdd a comment...@RaruMaru2 days agoアニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれShow more repA good song that hits even harder after seeing the 1st episode
68,何回聴いても飽きないしマジで神曲すぎる
69,我太愛忍之子了我愛你的音樂
70,この曲毎日聴いてるからいつの間にか全部歌えるようになってる
71,ベースとリズムシンセの音の組み合わせや流れが心地良すぎる😂
72,ヘッドホンで聴くと綾ちゃんの可愛い声がわかります❤
73,これを超える曲が現れるのだろうか・・・
74,一言コメうぜーよどうせ機械で一斉にコメ流してるだけだと思うが
75,半年前なのにまだ急上昇3位にいるの凄すぎる…
76,めっちゃ可愛いめちゃくちゃ歌うたうたってるよ
77,語尾の音程というか歌声が本当に可愛いし好きそして歌うとめちゃくちゃ難しい
78,星野アイ星のeye(アイ)
79,原作より先にこのMVを観たけど歌詞が泣けてきました嘘で作り上げたアイドル偶像を演じながら愛されることではなく愛することを自分の心を見つめる目に嘘ごまかしなくただひたすら望む姿勢は彼女がそれだけで本来は愛溢れる子なんだなって感じました自分にあまりにもストイックで不器用で愛すべき完璧なアイドル
80,アニメキッカケにこの曲知った人には他のyoasobiの曲も聞いて欲しい
81,カラオケでアイドル歌ったけど音がめっちゃ外れて難しかったそれを毎回上手に歌うikuraちゃんスゴすぎるアイドルめっちゃ好きなのでこれからもたくさん聞いて練習します
82,外国語のコメントいらねー邪魔くさいだけだ
83,ジャニーズ問題の中この曲が紅白で歌われるとは感慨深いですなぁ
84,海外のコメント多くてびっくり
85,ちょっと順位盛り返してるの草
86,1000万回4月17日5000万回4月25日1億回5月18日2億回6月30日3億回9月2日予測4億回12月20日5億回4月15日伸びやばすぎだろ
87,まじYOASOBIもアイドルもただの日本の誇りで草
88,あと58万回
89,3.4億はえぐい
90,もうすぐ私私を愛する気が涙が出て悲しくなってきました
91,半年で3.4億ってやばくね
92,コメント数の割に再生が伸びていないと言う事はサーバーのバグだな
93,はよ4億行け願わくばDespacitoを邦楽が超えてほしい
94,年末で忙しくなり今より再生数が下がったと仮定した場合の予想再生数を計算してみたこれ以上下がらなけば限りなく4億再生に行くと考えられる10月は残り13日で1日平均70万再生とすると合計910万再生11月は30日で1日平均60万再生とすると合計1800万再生12月は31日で1日平均50万再生とすると合計1550万再生10月12月までの予測再生数は3.86億再生(8ヶ月でこの再生数も脅威的何だけどね)少し頑張れば年内4億再生は全然可能な範囲なのは言うまでも無い最低2月頃に最低再生数でも4億再生に到達するだろう色と意見があると思うけどあくまで参考な
95,かわいいすごくじょうず❤😂🎉😮ありがと🎉
96,うたがじょうず
97,最近英語のコメント多いな
98,アイドル神曲すぎる
99,kuraさんいつもの歌声じゃなくてアイドルを擬態化した歌声アイドルの表と裏を曲で表したayaseさん2:36ここで転調させるのもう天才としかいえないnice
100,またサーバーのバグか13万コメントもあるとサーバーもバグを起こすよな
101,歌詞が👍🏼👍🏼👍🏼👍🏼👍🏼
102,久しぶりに聞くけど
103,今日は50万再生行けば御の字かな・・・
104,サーバー停止してないか
105,たった半年で3.4億ヤバ過ぎる🎉
106,この歌を口ずさみながら自分の赤ちゃんで遊ぶのがマイブーム赤ちゃんは無敵のアイドルだからね
107,今日の社会のテストの時事問題で出てきた
108,このペースだと年内4億再生も視野ですね現時点であと約6千万再生)どこまでいけるか本当に気になる曲
109,さぁあと580万だ
110,アイドール0:17アイドル
111,アイドル2:44
112,ル
113,英語のネイティブスピーカーとしてそしてアメリカに住んでいる者として私たちはここでもこの曲に夢中になっていると断言できます海外の皆さんこんにちは
114,メロディーは芸能界の表を歌ってるみたいハモリとか伴奏は芸能界の裏を歌ってるみたいでなんか怖い
115,神神神神
116,yoasobi神
117,これダイヤモンドのたてもらえてもおかしくない
118,最近アウトロの良さに気づけた
119,一年で5億いくな
120,日本人口は1億2000万人です⤴︎
121,結構前までAdoがすごいと思ってたけどたった半年でうっせえわ抜いたの凄い
122,3.44億再生おめでとう🎉🎉平日は遅くなるけど致し方ないね
123,アイドルはやはりアセンダント双子座でしょう😅
124,次のシーズンでアクアが父親を見つけられなければ
125,アイドル聴くとなんか懐かしくなるのなんで
126,2024年も聞く人🙋
127,本日の再生数は792551回でした…先週の今日が1048983回なので先週比は75.6%ですついにこの日が来てしまいました…分かっていてもやっぱり悲しい…
128,5億回再生おめでとう
129,やはり平日は伸びんね伸びんと言っても並の曲ならバズッてる位の再生数何だけど再生数感覚麻痺……
130,3位に上がってねおめ
131,もう半年かよ(時の流れは早い
132,なんでロリなんとかに抜かれるんだよ
133,また一位にならないかな
134,アイドルを初めて聞いた時のあの感情をもう一度味わいたい
135,元流行ってるなこの歌って思ってたけどアニメと原作見たら作詞作曲のセンスありすぎる歌だなって感動した
136,人気3位...バケモノなのバケモノなアイドルなの
137,日本は八百万の神だから神曲が幾万会っても問題ないんだよな八百万の神曲しかし海外は一神教神曲は一つのみ一神教だとするとあなたの本当の神曲は何だ
138,めっちゃ好き最高すぎるこの歌が流れたらすぐにこの歌の虜に入ってしまった
139,私はずっと彼女の話を聞いてきました
140,怪物抜いた
141,俺が死んだ後の世界になりたい
142,3位になったえぐ
143,さすがに寿命
144,毎日歌ったています
145,久に戻っても人気ランキングに乗ってんのスゴすぎ
146,久しぶりに聞きに来た1か月前4億到達は12月10日頃と予想したけどそのぐらいになりそうだな
147,聴きすぎると飽きると思ったけど……飽きないなんてアイドルすご
148,みんな…力…合わせる…年末…4億…到達‼️みんな…力…合わせない…年末…4億…むり…死刑…
149,アイランド☆
150,どんだけ伸びるんだよおめでとう
151,3位すごいやろ
152,神曲最高‼︎
153,いい歌だと思います
154,ぶっちゃけ原作いらないほど良い曲
155,さぁあと639万だ
156,5時間前に言ったよな今日の目標は3.44億って甘いよ今のままだともう先生知りませんでろ‼️
157,日本の神曲最高‼︎
158,今日が最後のジャニーズ日ジャニーズ最後にファンになったのがなにわ男子😂😂初心❤️最高だったよキラキラ🎉🎉しててワクワクして聞いた😣😣ジャニーズとして最後に買ったCDはサチアレ🎉🎉ジャニーズしては最後だけど新しいなにわ男子楽しみしてるね🎉サチアレ🎉🎉
159,10億再生いけー!
160,すきです
161,怖くてこのアニメ見れないでいる😢観たほうがいいのかな
162,リスペクトと嘘と現実と皮肉とって色んな方向からアイドルとはを表現してるな嘘をつくのがアイドルでありら色んな人の理想を演じるのがアイドルめちゃくちゃ息苦しくてめんどくさい職業だけどそれを超えた時ホンモノのアイドルになるんだろうな
163,えっもうこの神曲が配信されてから6ヶ月もたったの
164,ありがと
165,3.4億再生おめでとう🎉㊗️
166,おー
167,推しの子っていうタイトルが良くないただのアイドルオタクのいわゆる萌え系の話なのかと思って興味なかったけど嫁に言われて観てみたら想像しとった話と全く違って面白かった絶対タイトルでパスしとる人けっこうおると思う
168,このまま5億いったらもうすごいなんて言えないくらいになるんだろうな3億4000万再生おめでとうございます
